top - 01:27:59 up  1:54,  4 users,  load average: 3.63, 1.55, 0.99
Tasks: 217 total,   2 running, 207 sleeping,   8 stopped,   0 zombie
%Cpu(s):  6.5 us, 38.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 54.8 si,  0.0 st 
MiB Mem :   3403.7 total,    125.1 free,   2344.7 used,    793.3 buff/cache     
MiB Swap:   3915.0 total,   3579.2 free,    335.8 used.   1059.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8492 sysadmin  20   0    7776   3340   3212 S   0.0   0.1   0:00.00 mpris-p+
   8493 sysadmin  20   0   12364   6224   4432 S   0.0   0.2   0:00.44 bash
   8494 sysadmin  20   0   99292   6424   6168 S   0.0   0.2   0:00.03 pipewire
   8497 sysadmin  20   0   87692   5056   4800 S   0.0   0.1   0:00.02 pipewire
   8508 sysadmin  20   0   39136   5316   4676 S   0.0   0.2   0:00.16 snapd-d+
   8511 sysadmin  20   0  401932  10760  10248 S   0.0   0.3   0:00.13 wireplu+
   8513 sysadmin  20   0  108572   7916   7788 S   0.0   0.2   0:00.02 pipewir+
   8550 sysadmin  20   0    8800   4656   4528 S   0.0   0.1   0:00.03 dbus-da+
   8641 sysadmin  20   0  535404   6740   6612 S   0.0   0.2   0:00.01 xdg-doc+
   8647 sysadmin  20   0  310048   6256   6000 S   0.0   0.2   0:00.00 xdg-per+
   8654 root      20   0    2772   2024   2024 S   0.0   0.1   0:00.00 fusermo+
   8843 sysadmin  20   0  279080   7684   6000 S   0.0   0.2   0:00.11 snapd-d+
   9241 anass     20   0   11.7g 680684 157396 S   0.0  19.5   4:34.94 firefox
   9365 anass     20   0   21072   2192   2028 S   0.0   0.1   0:00.01 crashhe+
   9436 anass     20   0  300132  20768  15904 S   0.0   0.6   0:00.13 forkser+
   9441 anass     20   0  314524  29016  23916 S   0.0   0.8   0:00.04 Socket +
